Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-10-18,8,8,9,9,11,8,10,6,10,10,8,8,8,10,10,11,11,10,6,9,6,9,10,9,8,10,9,9,10,9,12,15,9,10,9,6,9,11,9,7,8,7,8,12,8,9,16,11,8,12
2020-10-25,9,9,10,8,9,8,8,7,5,6,8,9,11,9,11,4,12,10,11,7,9,10,9,10,10,7,10,11,11,8,7,7,10,9,8,9,9,6,8,8,9,7,8,10,9,11,8,11,8,9
2020-11-01,6,6,6,6,6,7,8,12,7,7,10,7,7,8,9,7,8,6,3,14,20,9,8,5,9,6,12,9,8,4,9,8,7,7,7,6,6,7,6,6,7,6,7,4,6,11,9,9,7,7
2020-11-08,9,11,9,8,8,7,8,8,7,6,8,8,9,7,8,12,8,9,6,13,24,11,9,4,10,13,12,8,8,8,9,6,9,9,9,4,9,9,7,9,9,6,6,12,9,9,12,11,8,9
2020-11-15,7,10,8,8,12,7,8,6,11,11,7,9,9,7,9,9,9,10,7,11,14,9,10,7,10,7,16,9,9,9,9,20,8,9,9,5,10,8,7,10,9,6,11,8,8,8,16,8,10,9
2020-11-22,7,8,8,7,9,6,8,10,5,8,7,7,9,7,8,8,9,8,6,14,6,10,8,7,7,4,12,8,8,6,5,4,8,8,7,9,9,8,7,8,6,6,8,4,7,7,5,8,6,7
2020-11-29,6,5,8,10,10,7,8,0,10,5,9,9,9,9,11,5,10,8,3,11,17,7,10,0,8,12,10,10,9,10,9,5,9,9,9,3,8,8,7,9,7,8,13,8,8,9,8,10,6,8
2020-12-06,10,7,9,7,9,7,11,8,9,13,10,8,9,8,9,8,9,9,8,7,6,8,9,0,10,10,8,7,11,8,6,9,10,9,10,9,7,9,8,8,8,8,4,11,8,11,11,9,8,7
2020-12-13,7,7,8,8,11,8,9,11,12,9,7,7,7,4,10,9,13,8,11,6,4,10,9,0,8,4,8,9,8,7,9,7,6,9,8,0,9,9,6,7,8,3,13,5,9,8,7,10,6,8
2020-12-20,6,8,5,6,7,6,6,11,8,5,5,6,6,5,8,9,5,7,5,4,6,6,7,11,7,5,4,10,6,7,7,17,5,7,6,10,7,6,6,5,4,5,8,4,7,6,8,7,7,5
2020-12-27,9,5,7,6,8,6,7,14,8,5,7,7,8,6,7,8,6,7,8,5,12,9,8,3,8,8,8,8,8,6,7,9,7,7,7,8,8,10,6,9,4,4,11,8,7,9,9,9,7,9
2021-01-03,9,9,10,9,10,7,8,7,7,5,7,6,9,6,8,6,10,10,5,8,13,8,8,4,7,5,0,10,9,8,6,7,7,8,7,3,7,7,7,6,5,5,6,4,8,8,11,9,9,7
2021-01-10,8,10,8,8,7,7,10,7,9,7,6,8,7,10,9,8,11,7,9,12,5,9,8,4,8,7,10,10,10,9,7,7,8,9,8,9,9,10,7,10,8,6,6,9,10,11,10,9,6,11
2021-01-17,5,8,8,8,9,6,7,8,11,6,8,8,8,7,9,6,9,8,5,9,6,9,8,0,9,8,8,9,9,6,9,12,8,9,9,7,9,8,7,6,8,6,14,5,8,10,11,10,8,7
2021-01-24,8,9,9,8,9,7,11,5,7,9,7,7,8,8,11,9,11,8,8,0,10,10,10,29,10,12,12,9,10,6,6,19,7,9,7,5,9,9,8,6,6,4,7,8,8,11,13,9,8,9
2021-01-31,8,5,10,9,10,7,12,9,12,11,12,8,10,10,11,8,10,9,3,3,11,11,10,6,10,15,23,9,9,9,9,14,10,9,9,10,9,9,8,8,9,7,10,12,10,11,8,11,9,9
2021-02-07,13,9,9,8,11,8,8,9,13,2,9,8,9,9,12,11,11,9,11,9,3,9,10,13,10,15,14,11,9,9,9,0,10,10,10,6,8,7,8,7,9,9,10,5,11,12,10,10,5,10
2021-02-14,8,10,10,9,8,7,8,8,8,7,9,8,10,6,10,7,14,10,7,13,17,10,8,7,9,10,15,10,10,8,8,17,10,10,9,6,11,9,9,10,6,7,10,7,10,11,18,12,8,9
2021-02-21,10,7,10,10,11,8,11,9,13,9,13,9,11,10,11,8,14,10,12,7,7,11,9,7,10,8,18,9,11,9,9,10,9,10,10,0,7,10,9,8,10,6,10,7,10,10,7,12,9,11
2021-02-28,7,10,10,8,11,7,10,7,8,10,9,9,10,9,10,5,9,10,7,7,12,9,11,8,9,14,7,11,10,9,9,0,8,9,10,7,10,10,9,9,6,8,9,11,9,11,8,12,10,10
